Iteration,Mean,Stdev,Run-0
0,3.7523326078587433,0.0,3.7523326078587433
1,3.650534207482516,0.0,3.650534207482516
2,3.676955262170047,0.0,3.676955262170047
3,3.5794412971859173,0.0,3.5794412971859173
4,3.5538711287833724,0.0,3.5538711287833724
5,3.6143602476786953,0.0,3.6143602476786953
6,3.564323217666995,0.0,3.564323217666995
7,3.560491539099623,0.0,3.560491539099623
8,3.560491539099623,0.0,3.560491539099623
9,3.560491539099623,0.0,3.560491539099623
10,3.560491539099623,0.0,3.560491539099623
11,3.560491539099623,0.0,3.560491539099623
12,3.560491539099623,0.0,3.560491539099623
13,3.560491539099623,0.0,3.560491539099623
14,3.560491539099623,0.0,3.560491539099623
15,3.560491539099623,0.0,3.560491539099623
16,3.560491539099623,0.0,3.560491539099623
17,3.560491539099623,0.0,3.560491539099623
18,3.560491539099623,0.0,3.560491539099623
19,3.560491539099623,0.0,3.560491539099623
20,3.560491539099623,0.0,3.560491539099623
21,3.560491539099623,0.0,3.560491539099623
22,3.560491539099623,0.0,3.560491539099623
23,3.560491539099623,0.0,3.560491539099623
24,3.560491539099623,0.0,3.560491539099623
25,3.560491539099623,0.0,3.560491539099623
26,3.560491539099623,0.0,3.560491539099623
27,3.560491539099623,0.0,3.560491539099623
28,3.560491539099623,0.0,3.560491539099623
29,3.560491539099623,0.0,3.560491539099623
30,3.560491539099623,0.0,3.560491539099623
31,3.560491539099623,0.0,3.560491539099623
32,3.560491539099623,0.0,3.560491539099623
33,3.560491539099623,0.0,3.560491539099623
34,3.560491539099623,0.0,3.560491539099623
35,3.560491539099623,0.0,3.560491539099623
36,3.560491539099623,0.0,3.560491539099623
37,3.560491539099623,0.0,3.560491539099623
38,3.560491539099623,0.0,3.560491539099623
39,3.560491539099623,0.0,3.560491539099623
Iteration,Mean,Stdev,Run-0
0,1.5632018423735308,0.0,1.5632018423735308
1,1.8894443627691184,0.0,1.8894443627691184
2,1.92091124209319,0.0,1.92091124209319
3,1.9208331525668747,0.0,1.9208331525668747
4,1.9516915739942113,0.0,1.9516915739942113
5,1.9451478092936791,0.0,1.9451478092936791
6,1.9207029963010942,0.0,1.9207029963010942
7,1.925486951396971,0.0,1.925486951396971
8,1.925486951396971,0.0,1.925486951396971
9,1.9554027718094296,0.0,1.9554027718094296
10,1.9557862868933305,0.0,1.9557862868933305
11,1.9557862868933305,0.0,1.9557862868933305
12,2.0574498778828127,0.0,2.0574498778828127
13,2.0574498778828127,0.0,2.0574498778828127
14,2.0512191496766015,0.0,2.0512191496766015
15,2.0512191496766015,0.0,2.0512191496766015
16,2.0512191496766015,0.0,2.0512191496766015
17,2.0512191496766015,0.0,2.0512191496766015
18,2.0512191496766015,0.0,2.0512191496766015
19,2.0512191496766015,0.0,2.0512191496766015
20,2.0512191496766015,0.0,2.0512191496766015
21,2.0512191496766015,0.0,2.0512191496766015
22,2.0512191496766015,0.0,2.0512191496766015
23,2.0512191496766015,0.0,2.0512191496766015
24,2.0512191496766015,0.0,2.0512191496766015
25,2.0512191496766015,0.0,2.0512191496766015
26,2.0512191496766015,0.0,2.0512191496766015
27,2.0512191496766015,0.0,2.0512191496766015
28,2.0512191496766015,0.0,2.0512191496766015
29,2.0512191496766015,0.0,2.0512191496766015
30,2.0512191496766015,0.0,2.0512191496766015
31,2.0512191496766015,0.0,2.0512191496766015
32,2.0512191496766015,0.0,2.0512191496766015
33,2.0512191496766015,0.0,2.0512191496766015
34,2.0512191496766015,0.0,2.0512191496766015
35,2.0512191496766015,0.0,2.0512191496766015
36,2.0512191496766015,0.0,2.0512191496766015
37,2.0512191496766015,0.0,2.0512191496766015
38,2.0512191496766015,0.0,2.0512191496766015
39,2.0512191496766015,0.0,2.0512191496766015
